Learning Rate	Train Loss	Test Loss	
0.00100000	0.01484629	0.01130074	
0.00100000	0.00870330	0.00783616	
0.00100000	0.00911251	0.13680215	
0.00100000	0.00912200	0.00822333	
0.00100000	0.00803085	0.00792985	
0.00100000	0.00783781	0.00775479	
0.00100000	0.00770784	0.00784309	
0.00100000	0.00761604	0.00752682	
0.00100000	0.00752968	0.00759245	
0.00100000	0.00747622	0.00738196	
0.00100000	0.00735975	0.00740937	
0.00100000	0.00711303	0.00695846	
0.00100000	0.00698034	0.00745332	
0.00100000	0.00683417	0.00678020	
0.00100000	0.00657561	0.00649266	
0.00100000	0.00618735	0.00634331	
0.00100000	0.00538234	0.00547229	
0.00100000	0.00401460	0.00360060	
0.00100000	0.00320313	0.00300290	
0.00100000	0.00282428	0.00268803	
0.00100000	0.00251663	0.00227683	
0.00100000	0.00203275	0.00204389	
0.00100000	0.00158059	0.00146947	
0.00100000	0.00115600	0.00108458	
0.00100000	0.00064965	0.00046981	
0.00100000	0.00040441	0.00034473	
0.00100000	0.00032543	0.00030117	
0.00100000	0.00030084	0.00028421	
0.00100000	0.00026818	0.00024352	
0.00100000	0.00024856	0.00023376	
0.00100000	0.00024454	0.00021843	
0.00100000	0.00023896	0.00023530	
0.00100000	0.00021847	0.00019943	
0.00100000	0.00021417	0.00020071	
0.00100000	0.00020349	0.00018995	
0.00100000	0.00019691	0.00020309	
0.00100000	0.00019643	0.00019600	
0.00100000	0.00019352	0.00017125	
0.00100000	0.00018537	0.00018529	
0.00100000	0.00017839	0.00016638	
0.00100000	0.00018216	0.00017186	
0.00100000	0.00017827	0.00018628	
0.00100000	0.00016395	0.00014708	
0.00100000	0.00015797	0.00015338	
0.00100000	0.00016641	0.00017316	
0.00100000	0.00015171	0.00013486	
0.00100000	0.00014370	0.00013352	
0.00100000	0.00015161	0.00013057	
0.00100000	0.00013609	0.00013592	
0.00100000	0.00014273	0.00014928	
0.00100000	0.00013081	0.00012371	
0.00100000	0.00012526	0.00010567	
0.00100000	0.00012538	0.00012305	
0.00100000	0.00012363	0.00013435	
0.00100000	0.00011606	0.00013793	
0.00100000	0.00011796	0.00010027	
0.00100000	0.00010912	0.00009178	
0.00100000	0.00010557	0.00009298	
0.00100000	0.00010237	0.00009354	
0.00100000	0.00010681	0.00009006	
0.00100000	0.00009599	0.00007779	
0.00100000	0.00008703	0.00008221	
0.00100000	0.00008316	0.00007440	
0.00100000	0.00006982	0.00006699	
0.00100000	0.00008722	0.00008329	
0.00100000	0.00007502	0.00005947	
0.00100000	0.00007828	0.00005056	
0.00100000	0.00007070	0.00005356	
0.00100000	0.00007376	0.00007286	
0.00100000	0.00006517	0.00004674	
0.00100000	0.00006271	0.00005131	
0.00100000	0.00006695	0.00005293	
0.00100000	0.00005458	0.00005056	
0.00100000	0.00006570	0.00004444	
0.00100000	0.00005246	0.00004166	
0.00100000	0.00005478	0.00004922	
0.00100000	0.00005050	0.00003918	
0.00100000	0.00004919	0.00003764	
0.00100000	0.00005507	0.00004357	
0.00100000	0.00005369	0.00004747	
0.00100000	0.00004922	0.00003889	
0.00100000	0.00004472	0.00004429	
0.00100000	0.00006009	0.00004630	
0.00100000	0.00005640	0.00004406	
0.00100000	0.00004881	0.00003338	
0.00100000	0.00005736	0.00003233	
0.00100000	0.00003929	0.00002911	
0.00100000	0.00004396	0.00002940	
0.00100000	0.00004252	0.00003587	
0.00100000	0.00003748	0.00002514	
0.00100000	0.00004790	0.00002809	
0.00100000	0.00003754	0.00003185	
0.00100000	0.00004332	0.00005113	
0.00100000	0.00004413	0.00002532	
0.00100000	0.00004847	0.00003995	
0.00100000	0.00003984	0.00002456	
0.00100000	0.00004071	0.00003612	
0.00100000	0.00003912	0.00004640	
0.00100000	0.00004044	0.00003825	
0.00100000	0.00004229	0.00002368	
0.00100000	0.00004042	0.00002856	
0.00100000	0.00003722	0.00002339	
0.00100000	0.00004029	0.00002898	
0.00100000	0.00004114	0.00003978	
0.00100000	0.00003770	0.00005466	
0.00100000	0.00003591	0.00002370	
0.00100000	0.00003624	0.00002387	
0.00100000	0.00004398	0.00002865	
0.00100000	0.00003385	0.00002548	
0.00100000	0.00003783	0.00002685	
0.00100000	0.00003922	0.00002255	
0.00100000	0.00003456	0.00002038	
0.00100000	0.00003647	0.00002653	
0.00100000	0.00003198	0.00001783	
0.00100000	0.00003716	0.00002480	
0.00100000	0.00003374	0.00001900	
0.00100000	0.00003226	0.00003502	
0.00100000	0.00003137	0.00002378	
0.00100000	0.00003214	0.00001915	
0.00100000	0.00002829	0.00001589	
0.00010000	0.00002419	0.00001081	
0.00010000	0.00002206	0.00001006	
0.00010000	0.00002233	0.00001025	
0.00010000	0.00002343	0.00001082	
0.00010000	0.00002352	0.00001011	
0.00010000	0.00002102	0.00001097	
0.00010000	0.00002599	0.00001015	
0.00010000	0.00002420	0.00001052	
0.00010000	0.00002842	0.00001027	
0.00010000	0.00002134	0.00001042	
0.00010000	0.00002245	0.00000982	
0.00010000	0.00001837	0.00000995	
0.00010000	0.00002408	0.00000994	
0.00010000	0.00002507	0.00001022	
0.00010000	0.00002268	0.00001014	
0.00010000	0.00002023	0.00000994	
0.00010000	0.00002441	0.00001202	
0.00010000	0.00002100	0.00000963	
0.00010000	0.00002196	0.00001042	
0.00010000	0.00002423	0.00001002	
0.00010000	0.00002080	0.00001090	
0.00010000	0.00002186	0.00001131	
0.00010000	0.00002382	0.00001215	
0.00010000	0.00002596	0.00000943	
0.00010000	0.00002537	0.00001105	
0.00010000	0.00002134	0.00001090	
0.00010000	0.00002420	0.00000999	
0.00010000	0.00002241	0.00000947	
0.00010000	0.00002038	0.00001035	
0.00010000	0.00002455	0.00001046	
0.00010000	0.00002113	0.00001006	
0.00010000	0.00002166	0.00001151	
0.00010000	0.00002363	0.00001098	
