Learning Rate	Train Loss	Test Loss	
0.00100000	0.01592153	0.01537921	
0.00100000	0.01206021	0.01137219	
0.00100000	0.00872201	0.00763562	
0.00100000	0.00588337	0.00386654	
0.00100000	0.00298327	0.00258216	
0.00100000	0.00212170	0.00188093	
0.00100000	0.00182323	0.00179056	
0.00100000	0.00163886	0.00156979	
0.00100000	0.00156336	0.00150212	
0.00100000	0.00149704	0.00145869	
0.00100000	0.00146125	0.00143150	
0.00100000	0.00140926	0.00135200	
0.00100000	0.00137198	0.00133975	
0.00100000	0.00133485	0.00134847	
0.00100000	0.00122610	0.00122747	
0.00100000	0.00118352	0.00117497	
0.00100000	0.00115464	0.00114700	
0.00100000	0.00113240	0.00111627	
0.00100000	0.00110349	0.00112127	
0.00100000	0.00109135	0.00106826	
0.00100000	0.00107385	0.00111537	
0.00100000	0.00107950	0.00106531	
0.00100000	0.00105823	0.00105009	
0.00100000	0.00105865	0.00104291	
0.00100000	0.00104957	0.00101316	
0.00100000	0.00102371	0.00103078	
0.00100000	0.00104289	0.00100921	
0.00100000	0.00101710	0.00091687	
0.00100000	0.00089867	0.00087115	
0.00100000	0.00084235	0.00081529	
0.00100000	0.00081096	0.00080807	
0.00100000	0.00081639	0.00084024	
0.00100000	0.00078935	0.00080036	
0.00100000	0.00077905	0.00075281	
0.00100000	0.00077536	0.00076108	
0.00100000	0.00076745	0.00076144	
0.00100000	0.00076056	0.00074367	
0.00100000	0.00076142	0.00075494	
0.00100000	0.00076342	0.00075554	
0.00100000	0.00076334	0.00076215	
0.00100000	0.00075334	0.00074759	
0.00100000	0.00075758	0.00074145	
0.00100000	0.00075350	0.00073406	
0.00100000	0.00074900	0.00075532	
0.00100000	0.00074541	0.00072604	
0.00100000	0.00075020	0.00074239	
0.00100000	0.00074494	0.00074028	
0.00100000	0.00074137	0.00072992	
0.00100000	0.00075006	0.00074151	
0.00100000	0.00074220	0.00073847	
0.00100000	0.00074976	0.00073681	
0.00100000	0.00074518	0.00072909	
0.00100000	0.00073887	0.00073507	
0.00100000	0.00073971	0.00072343	
0.00100000	0.00074874	0.00074100	
0.00100000	0.00075136	0.00073480	
0.00100000	0.00074035	0.00073076	
0.00100000	0.00073901	0.00072952	
0.00100000	0.00074024	0.00074837	
0.00100000	0.00073532	0.00072998	
0.00100000	0.00074306	0.00071923	
0.00100000	0.00073705	0.00072863	
0.00100000	0.00072622	0.00072794	
0.00100000	0.00074554	0.00072819	
0.00100000	0.00074611	0.00072978	
0.00100000	0.00073309	0.00071679	
0.00100000	0.00072857	0.00073131	
0.00100000	0.00073545	0.00072530	
0.00100000	0.00073096	0.00074075	
0.00100000	0.00073647	0.00072617	
0.00100000	0.00073113	0.00072526	
