Learning Rate	Train Loss	Test Loss	
0.00100000	0.01475594	0.01230317	
0.00100000	0.00592367	0.00373595	
0.00100000	0.00325649	0.00299854	
0.00100000	0.00266420	0.00266448	
0.00100000	0.00244223	0.00248712	
0.00100000	0.00233346	0.00233387	
0.00100000	0.00228253	0.00230443	
0.00100000	0.00226734	0.00228223	
0.00100000	0.00223141	0.00227570	
0.00100000	0.00221392	0.00220455	
0.00100000	0.00221802	0.00227328	
0.00100000	0.00222609	0.00217588	
0.00100000	0.00217900	0.00219471	
0.00100000	0.00217632	0.00218238	
0.00100000	0.00216173	0.00215320	
0.00100000	0.00217481	0.00218650	
0.00100000	0.00217280	0.00218854	
0.00100000	0.00217940	0.00214630	
0.00100000	0.00215913	0.00217327	
0.00100000	0.00215575	0.00214550	
0.00100000	0.00214153	0.00212824	
0.00100000	0.00213023	0.00211775	
0.00100000	0.00214251	0.00211560	
0.00100000	0.00210685	0.00209564	
0.00100000	0.00214449	0.00210704	
0.00100000	0.00210944	0.00208592	
0.00100000	0.00209368	0.00208051	
0.00100000	0.00210000	0.00207785	
0.00100000	0.00207070	0.00204165	
0.00100000	0.00203313	0.00200552	
0.00100000	0.00198788	0.00196693	
0.00100000	0.00197793	0.00196852	
0.00100000	0.00193742	0.00190500	
0.00100000	0.00190482	0.00188732	
0.00100000	0.00187889	0.00191264	
0.00100000	0.00185093	0.00189535	
0.00100000	0.00178421	0.00180590	
0.00100000	0.00173090	0.00178258	
0.00100000	0.00162535	0.00154648	
0.00100000	0.00153455	0.00149406	
0.00100000	0.00150134	0.00150315	
0.00100000	0.00147860	0.00146599	
0.00100000	0.00147072	0.00146328	
0.00100000	0.00145604	0.00144105	
0.00100000	0.00144099	0.00144470	
0.00100000	0.00144651	0.00142499	
0.00100000	0.00145102	0.00147307	
0.00100000	0.00143995	0.00142996	
0.00100000	0.00143928	0.00142647	
0.00100000	0.00142525	0.00142721	
0.00100000	0.00141967	0.00140496	
0.00100000	0.00141088	0.00142544	
0.00100000	0.00138886	0.00140913	
0.00100000	0.00136015	0.00152330	
0.00100000	0.00130398	0.00138580	
0.00100000	0.00125841	0.00124705	
0.00100000	0.00122344	0.00123475	
