Learning Rate	Train Loss	Test Loss	
0.00100000	0.01128812	0.01175923	
0.00100000	0.00628620	0.00388472	
0.00100000	0.00262096	0.00250289	
0.00100000	0.00200994	0.00488956	
0.00100000	0.00168514	0.00139362	
0.00100000	0.00143789	0.00121818	
0.00100000	0.00137770	0.00414860	
0.00100000	0.00150530	0.00281423	
0.00100000	0.00113850	0.00101260	
0.00100000	0.00090494	0.00096509	
0.00100000	0.00090340	0.00089213	
0.00100000	0.00079441	0.00057746	
0.00100000	0.00077855	0.00133213	
0.00100000	0.00064552	0.00068664	
0.00100000	0.00062702	0.00074754	
0.00100000	0.00065940	0.00062784	
0.00100000	0.00053715	0.00049077	
0.00100000	0.00057470	0.00078517	
0.00100000	0.00064220	0.00055975	
0.00100000	0.00049626	0.00040296	
0.00100000	0.00046324	0.00043866	
0.00100000	0.00043568	0.00039705	
0.00100000	0.00041437	0.00044395	
0.00100000	0.00037290	0.00038266	
0.00100000	0.00037440	0.00046907	
0.00100000	0.00037567	0.00038952	
0.00100000	0.00035231	0.00031076	
0.00100000	0.00032416	0.00034136	
0.00100000	0.00031863	0.00028390	
0.00100000	0.00036643	0.00081337	
0.00100000	0.00039271	0.00020120	
0.00100000	0.00029268	0.00024637	
0.00100000	0.00032356	0.00100658	
0.00100000	0.00030210	0.00027263	
0.00100000	0.00026240	0.00022018	
0.00100000	0.00026094	0.00020384	
0.00100000	0.00024800	0.00020120	
0.00100000	0.00024229	0.00048517	
0.00100000	0.00035751	0.00019041	
0.00100000	0.00024825	0.00026010	
0.00100000	0.00021523	0.00036748	
0.00100000	0.00018586	0.00028070	
0.00100000	0.00017588	0.00015325	
0.00100000	0.00016118	0.00015061	
0.00100000	0.00014611	0.00013388	
0.00100000	0.00013656	0.00010691	
0.00100000	0.00012633	0.00010600	
0.00100000	0.00010706	0.00009513	
0.00100000	0.00009124	0.00009654	
0.00100000	0.00008392	0.00009069	
0.00100000	0.00007439	0.00009018	
0.00100000	0.00008025	0.00009089	
0.00100000	0.00006559	0.00006332	
0.00100000	0.00006082	0.00005460	
0.00100000	0.00006503	0.00006089	
0.00100000	0.00005592	0.00006375	
0.00100000	0.00006997	0.00006415	
0.00100000	0.00005863	0.00005845	
0.00100000	0.00007103	0.00005756	
0.00100000	0.00005881	0.00005004	
0.00100000	0.00006157	0.00007068	
0.00100000	0.00006347	0.00005149	
0.00100000	0.00005922	0.00005594	
0.00100000	0.00006327	0.00005778	
0.00100000	0.00005841	0.00005027	
0.00100000	0.00006098	0.00004534	
0.00100000	0.00005887	0.00006139	
0.00100000	0.00005474	0.00004175	
0.00100000	0.00004979	0.00004141	
0.00100000	0.00006904	0.00004454	
0.00100000	0.00005898	0.00003797	
0.00100000	0.00005634	0.00003696	
0.00100000	0.00004807	0.00005032	
0.00100000	0.00004914	0.00003791	
0.00100000	0.00004705	0.00004296	
0.00100000	0.00005274	0.00005071	
0.00100000	0.00004988	0.00003970	
0.00100000	0.00004487	0.00007408	
0.00100000	0.00004377	0.00003582	
0.00100000	0.00004784	0.00004858	
0.00100000	0.00005584	0.00003828	
0.00100000	0.00004911	0.00003712	
0.00100000	0.00004033	0.00002849	
0.00100000	0.00003971	0.00002967	
0.00100000	0.00004226	0.00003156	
0.00100000	0.00005506	0.00006107	
0.00100000	0.00005387	0.00005142	
0.00100000	0.00005077	0.00003727	
0.00100000	0.00003757	0.00002881	
0.00100000	0.00004667	0.00002923	
0.00100000	0.00004740	0.00002767	
0.00100000	0.00004738	0.00004247	
0.00100000	0.00004738	0.00003418	
0.00100000	0.00003977	0.00002601	
0.00100000	0.00004524	0.00004085	
0.00100000	0.00004719	0.00004478	
0.00100000	0.00003959	0.00003262	
0.00100000	0.00004029	0.00002650	
0.00100000	0.00004566	0.00002772	
0.00100000	0.00004574	0.00004835	
0.00100000	0.00004664	0.00004842	
0.00100000	0.00004122	0.00004166	
0.00100000	0.00004248	0.00002589	
0.00100000	0.00004549	0.00002814	
0.00100000	0.00005170	0.00007625	
0.00100000	0.00005067	0.00002840	
0.00100000	0.00003984	0.00002082	
0.00100000	0.00003884	0.00001991	
0.00100000	0.00004459	0.00003434	
0.00100000	0.00003696	0.00002252	
0.00100000	0.00003925	0.00002278	
0.00100000	0.00004225	0.00002405	
0.00100000	0.00004057	0.00003959	
0.00100000	0.00003659	0.00002130	
0.00100000	0.00003587	0.00002882	
0.00100000	0.00004245	0.00004304	
0.00100000	0.00004608	0.00002842	
0.00100000	0.00003974	0.00004183	
0.00100000	0.00004507	0.00003708	
0.00100000	0.00003827	0.00003660	
0.00010000	0.00003213	0.00001556	
0.00010000	0.00002934	0.00001669	
0.00010000	0.00002903	0.00001506	
0.00010000	0.00002995	0.00001563	
0.00010000	0.00003082	0.00001522	
0.00010000	0.00002900	0.00001507	
0.00010000	0.00002982	0.00001528	
0.00010000	0.00003443	0.00001527	
0.00010000	0.00002945	0.00001493	
0.00010000	0.00002925	0.00001508	
0.00010000	0.00002984	0.00001480	
0.00010000	0.00002829	0.00001529	
0.00010000	0.00003168	0.00001443	
0.00010000	0.00003107	0.00001448	
0.00010000	0.00003342	0.00001579	
0.00010000	0.00003244	0.00001537	
0.00010000	0.00002743	0.00001427	
0.00010000	0.00002864	0.00001496	
0.00010000	0.00002982	0.00001569	
0.00010000	0.00002619	0.00001482	
0.00010000	0.00003213	0.00001512	
0.00010000	0.00002851	0.00001562	
0.00010000	0.00002972	0.00001464	
0.00010000	0.00002876	0.00001517	
0.00010000	0.00002759	0.00001424	
0.00010000	0.00002870	0.00001471	
0.00010000	0.00002945	0.00001576	
0.00010000	0.00002870	0.00001523	
0.00010000	0.00003078	0.00001485	
0.00010000	0.00002698	0.00001389	
0.00010000	0.00003092	0.00001542	
0.00010000	0.00002612	0.00001446	
0.00010000	0.00002985	0.00001448	
0.00010000	0.00002841	0.00001427	
0.00010000	0.00002712	0.00001427	
0.00010000	0.00002818	0.00001432	
0.00010000	0.00002910	0.00001512	
0.00010000	0.00003112	0.00001591	
0.00010000	0.00002734	0.00001690	
0.00010000	0.00003521	0.00001455	
0.00010000	0.00002817	0.00001611	
0.00010000	0.00002890	0.00001437	
0.00010000	0.00002860	0.00001378	
0.00010000	0.00003705	0.00001512	
0.00010000	0.00002828	0.00001546	
0.00010000	0.00002651	0.00001515	
0.00010000	0.00002504	0.00001502	
0.00010000	0.00002680	0.00001406	
0.00010000	0.00003043	0.00001464	
0.00010000	0.00002733	0.00001775	
0.00010000	0.00003161	0.00001624	
0.00010000	0.00002428	0.00001364	
0.00010000	0.00003106	0.00001445	
0.00010000	0.00002866	0.00001484	
0.00010000	0.00003332	0.00001542	
0.00010000	0.00002636	0.00001421	
0.00010000	0.00002995	0.00001443	
0.00010000	0.00002972	0.00001348	
0.00010000	0.00003017	0.00001669	
0.00010000	0.00002890	0.00001542	
0.00010000	0.00002697	0.00001359	
0.00010000	0.00002512	0.00001406	
0.00010000	0.00002695	0.00001367	
0.00010000	0.00002639	0.00001503	
0.00010000	0.00003041	0.00001670	
0.00010000	0.00002889	0.00002001	
0.00010000	0.00003129	0.00001328	
0.00010000	0.00002541	0.00001437	
0.00010000	0.00002590	0.00001364	
0.00010000	0.00002658	0.00001512	
0.00010000	0.00003027	0.00001639	
0.00010000	0.00002519	0.00001320	
0.00010000	0.00003087	0.00001464	
0.00010000	0.00002877	0.00001558	
0.00010000	0.00002974	0.00001653	
0.00010000	0.00002788	0.00001581	
0.00010000	0.00003038	0.00001385	
0.00010000	0.00002333	0.00001281	
0.00010000	0.00002891	0.00001344	
